tile_index,objname,P_Mstar,RA,Dec,tile_prob,tile_Mstar,tile_Mstar*tile_prob
30388.0,WISEA J174915.81+275741.4,0.0003261157490881912,267.098297,28.0,,,
30709.0,CGCG 172-007,0.0003257370096103698,272.88101,29.0,,,
29101.0,2MFGC 14215,0.0003158779715161777,271.862342,24.0,,,
26408.0,WISEA J182855.44+161939.3,0.00030435035646524144,277.680308,16.0,,,
29752.0,WISEA J180556.48+262928.4,0.00030050667213809716,271.709239,26.0,,,
28437.0,WISEA J175427.89+213640.4,0.00028707750464052354,268.751875,22.0,,,
32236.0,UGC 11050,0.00028314706546516213,268.977401,34.0,,,
31640.0,WISEA J182515.92+315217.8,0.00028141802410837103,275.803783,32.0,,,
29432.0,UGC 11237,0.00027967353743508643,276.277463,25.0,,,
33399.0,WISEA J180214.63+382519.8,0.00027652286975993705,271.044135,38.0,,,
27772.0,WISEA J182046.71+193719.8,0.000276289800978678,275.537235,20.0,,,
29105.0,WISEA J182634.55+234549.6,0.0002726316775826783,276.240887,24.0,,,
28445.0,WISEA J182913.80+214359.5,0.00026685198675753703,277.380153,22.0,,,
29747.0,WISEA J174544.40+253152.4,0.0002666653512691968,266.146229,26.0,,,
27771.0,WISEA J181611.53+193331.1,0.0002665663547713743,274.473057,20.0,,,
31939.0,WISEA J180542.57+323410.1,0.0002511749080952736,271.68447,33.0,,,
29425.0,UGC 11010 NOTES02,0.00024062063448146827,268.553818,25.0,,,
27094.0,WISEA J182635.86+175142.6,0.00018248873856425098,276.355267,18.0,,,
34768.0,WISEA J182817.26+424706.5,0.00015689693997289735,277.460887,43.0,,,
31637.0,MRK 1121,0.000145110543207271,272.266248,32.0,,,
29097.0,CGCG 141-018,0.00012736017889950223,267.483797,24.0,,,
29745.0,WISEA J173747.98+262120.0,0.0001251242293226254,263.921026,26.0,,,
28108.0,UGC 11210,9.791098687258759e-05,275.264996,21.0,,,
31328.0,UGC 11031,8.678593846558765e-05,268.530754,31.0,,,
32830.0,WISEA J182549.22+355102.5,8.274204551195282e-05,276.823315,36.0,,,
30712.0,UGC 11231,7.340410894131371e-05,276.311072,29.0,,,
28439.0,WISEA J180404.65+220214.4,6.653621359582164e-05,270.908944,22.0,,,
33120.0,UGC 11279,1.7651304236211315e-05,278.454424,37.0,,,
28769.0,UGC 11063,,269.244053,23.0,,,
34762.0,MCG +07-37-011,,269.256922,43.0,,,
32238.0,UGC 11118,,271.389837,34.0,,,
35027.0,CGCG 228-004,,275.709615,44.0,,,
30391.0,2MASX J18014590+2825279,,270.496007,28.0,,,
34230.0,2MASX J18033506+4124257,,271.162373,41.0,,,
33679.0,2MASX J17575252+3920063,,269.444369,39.0,,,
33961.0,2MASX J18253500+3931196,,276.097151,40.0,,,
31636.0,2MASX J18020847+3209395,,271.087069,32.0,,,
31635.0,2MASX J18001248+3154597,,269.907891,32.0,,,
30711.0,2MASX J18190185+2909266,,275.167718,29.0,,,
29423.0,2MASX J17443220+2508022,,266.347062,25.0,,,
29428.0,2MASX J18072344+2519427,,271.863951,25.0,,,
28766.0,2MASX J17454861+2303292,,265.984972,23.0,,,
35281.0,2MASX J18120462+4453199,,273.620179,45.0,,,
30068.0,UCM 1739+2637,,265.193413,27.0,,,
29095.0,2MASX J17424511+2350294,,265.294524,24.0,,,
30077.0,2MASX J18215902+2637343,,275.294349,27.0,,,
30396.0,2MASX J18242145+2735021,,276.158857,28.0,,,
30074.0,2MASX J18053642+2717147,,271.92737,27.0,,,
28438.0,2MASX J17581732+2133523,,269.83041,22.0,,,
26060.0,ALFAZOA J1822+1516,,275.396714,15.0,,,
